key,value_type
SIMPLE,<class 'bool'>
BITPIX,<class 'int'>
NAXIS,<class 'int'>
NAXIS1,<class 'int'>
NAXIS2,<class 'int'>
EXTEND,<class 'bool'>
COMMENT,<class 'str'>
COMMENT,<class 'str'>
ORIGIN,<class 'str'>
DATE-BEG,<class 'str'>
DATE-OBS,<class 'str'>
DATE-END,<class 'str'>
TELESCOP,<class 'str'>
SPCECRFT,<class 'str'>
INSTRUME,<class 'str'>
OBJECT,<class 'str'>
BUNIT,<class 'str'>
ROI_LLX,<class 'int'>
ROI_LLY,<class 'int'>
ROI_URX,<class 'int'>
ROI_URY,<class 'int'>
BITDEPTH,<class 'int'>
BOL_TEMP,<class 'float'>
PKG_TEMP,<class 'float'>
CAS_TEMP,<class 'float'>
SHT_TEMP,<class 'float'>
LEN_TEMP,<class 'float'>
PLT_RDYC,<class 'str'>
PLT_RDYF,<class 'str'>
PLT_TGTT,<class 'str'>
PLT_POW,<class 'str'>
IMGTYPE,<class 'str'>
IMGCMPRV,<class 'str'>
IMGCMPAL,<class 'str'>
IMGCMPPR,<class 'str'>
IMGCRRPT,<class 'str'>
IMGACCM,<class 'int'>
VERSION,<class 'float'>
